
date,open,high,low,close,price,volume
2022-01-01,100.50,110.25,90.75,105.00,104.50,50000
2022-01-02,105.25,115.00,95.00,110.00,109.50,60000
2022-01-03,110.00,120.25,100.50,115.00,114.25,70000
2022-01-04,115.25,125.50,105.25,120.00,119.25,80000
2022-01-05,120.50,130.75,110.50,125.25,124.50,90000
2022-01-06,125.75,135.00,115.25,130.50,129.75,100000
2022-01-07,130.25,140.25,120.00,135.00,134.25,110000
2022-01-08,135.50,145.50,125.50,140.25,139.50,120000
2022-01-09,140.75,150.75,130.75,145.50,144.75,130000
2022-01-10,145.25,155.00,135.25,150.75,150.00,140000
